gene_id,Geneid,GeneSymbol,Chromosome,Class,Length
DEK,ENSG00000124795.17,DEK,chr6,protein_coding,40688.0
DENND3,ENSG00000105339.11,DENND3,chr8,protein_coding,78530.0
DENND4A,ENSG00000174485.16,DENND4A,chr15,protein_coding,134247.0
DENND5A,ENSG00000184014.9,DENND5A,chr11,protein_coding,127134.0
DGAT2,ENSG00000062282.15,DGAT2,chr11,protein_coding,42023.0
DGLUCY,ENSG00000133943.21,DGLUCY,chr14,protein_coding,165299.0
DHRS7,ENSG00000100612.14,DHRS7,chr14,protein_coding,25737.0
DHX34,ENSG00000134815.19,DHX34,chr19,protein_coding,33389.0
DIAPH1,ENSG00000131504.18,DIAPH1,chr5,protein_coding,104039.0
DICER1,ENSG00000100697.17,DICER1,chr14,protein_coding,71782.0
DIP2B,ENSG00000066084.13,DIP2B,chr12,protein_coding,243672.0
DMXL2,ENSG00000104093.14,DMXL2,chr15,protein_coding,175122.0
DNAJA1,ENSG00000086061.16,DNAJA1,chr9,protein_coding,14634.0
DNAJB1,ENSG00000132002.9,DNAJB1,chr19,protein_coding,45622.0
DNAJB6,ENSG00000105993.15,DNAJB6,chr7,protein_coding,82058.0
DNAJB9,ENSG00000128590.5,DNAJB9,chr7,protein_coding,4983.0
DNAJC3,ENSG00000102580.15,DNAJC3,chr13,protein_coding,117849.0
DNM2,ENSG00000079805.19,DNM2,chr19,protein_coding,115433.0
DNTTIP2,ENSG00000067334.14,DNTTIP2,chr1,protein_coding,13634.0
DOCK11,ENSG00000147251.16,DOCK11,chrX,protein_coding,190348.0
DOCK2,ENSG00000134516.20,DOCK2,chr5,protein_coding,446114.0
DOCK4,ENSG00000128512.24,DOCK4,chr7,protein_coding,480297.0
DOCK5,ENSG00000147459.18,DOCK5,chr8,protein_coding,233393.0
DOCK8,ENSG00000107099.18,DOCK8,chr9,protein_coding,250405.0
DOK3,ENSG00000146094.16,DOK3,chr5,protein_coding,9370.0
DPEP2,ENSG00000167261.14,DPEP2,chr16,protein_coding,13192.0
DPYD,ENSG00000188641.14,DPYD,chr1,protein_coding,917257.0
DSC2,ENSG00000134755.18,DSC2,chr18,protein_coding,43682.0
DSE,ENSG00000111817.19,DSE,chr6,protein_coding,190688.0
DUSP1,ENSG00000120129.6,DUSP1,chr5,protein_coding,3099.0
DUSP2,ENSG00000158050.5,DUSP2,chr2,protein_coding,2271.0
DUSP6,ENSG00000139318.8,DUSP6,chr12,protein_coding,5266.0
DYNC1LI1,ENSG00000144635.9,DYNC1LI1,chr3,protein_coding,44884.0
DYRK1A,ENSG00000157540.22,DYRK1A,chr21,protein_coding,160785.0
DYSF,ENSG00000135636.16,DYSF,chr2,protein_coding,233202.0
E2F3,ENSG00000112242.16,E2F3,chr6,protein_coding,91835.0
EAPP,ENSG00000129518.10,EAPP,chr14,protein_coding,23766.0
ECE1,ENSG00000117298.16,ECE1,chr1,protein_coding,128325.0
ECHDC1,ENSG00000093144.19,ECHDC1,chr6,protein_coding,54897.0
EEF1A1,ENSG00000156508.19,EEF1A1,chr6,protein_coding,36279.0
EEF1D,ENSG00000104529.19,EEF1D,chr8,protein_coding,19844.0
EFHD2,ENSG00000142634.13,EFHD2,chr1,protein_coding,20451.0
EGR1,ENSG00000120738.8,EGR1,chr5,protein_coding,3824.0
EGR3,ENSG00000179388.9,EGR3,chr8,protein_coding,5821.0
EHD1,ENSG00000110047.18,EHD1,chr11,protein_coding,36654.0
EIF1,ENSG00000173812.11,EIF1,chr17,protein_coding,3783.0
EIF1AY,ENSG00000198692.10,EIF1AY,chrY,protein_coding,17378.0
EIF2AK2,ENSG00000055332.19,EIF2AK2,chr2,protein_coding,58312.0
EIF2S3,ENSG00000130741.11,EIF2S3,chrX,protein_coding,23864.0
EIF4A2,ENSG00000156976.17,EIF4A2,chr3,protein_coding,6692.0
EIF4A3,ENSG00000141543.12,EIF4A3,chr17,protein_coding,12782.0
EIF4E3,ENSG00000163412.13,EIF4E3,chr3,protein_coding,79359.0
EIF4EBP2,ENSG00000148730.7,EIF4EBP2,chr10,protein_coding,24473.0
EIF4G2,ENSG00000110321.19,EIF4G2,chr11,protein_coding,11890.0
EIF4G3,ENSG00000075151.24,EIF4G3,chr1,protein_coding,370993.0
EIF4H,ENSG00000106682.16,EIF4H,chr7,protein_coding,22891.0
EIF5,ENSG00000100664.11,EIF5,chr14,protein_coding,11481.0
ELAPOR1,ENSG00000116299.17,ELAPOR1,chr1,protein_coding,93102.0
ELF1,ENSG00000120690.16,ELF1,chr13,protein_coding,129516.0
ELF2,ENSG00000109381.21,ELF2,chr4,protein_coding,149106.0
ELF4,ENSG00000102034.18,ELF4,chrX,protein_coding,46761.0
ELL,ENSG00000105656.13,ELL,chr19,protein_coding,79453.0
ELL2,ENSG00000118985.16,ELL2,chr5,protein_coding,76753.0
ELMO1,ENSG00000155849.16,ELMO1,chr7,protein_coding,596317.0
ELOVL5,ENSG00000012660.14,ELOVL5,chr6,protein_coding,81781.0
EMB,ENSG00000170571.12,EMB,chr5,protein_coding,47056.0
EML4,ENSG00000143924.19,EML4,chr2,protein_coding,163195.0
ENO1,ENSG00000074800.16,ENO1,chr1,protein_coding,18190.0
ENSA,ENSG00000143420.19,ENSA,chr1,protein_coding,28761.0
ENSG00000188897,ENSG00000188897.10,ENSG00000188897,chr16,protein_coding,167402.0
ENSG00000249240,ENSG00000249240.2,ENSG00000249240,chr15,protein_coding,89037.0
ENTPD1,ENSG00000138185.20,ENTPD1,chr10,protein_coding,165487.0
EP300,ENSG00000100393.15,EP300,chr22,protein_coding,87485.0
EPB41,ENSG00000159023.23,EPB41,chr1,protein_coding,232955.0
EPCAM,ENSG00000119888.11,EPCAM,chr2,protein_coding,42443.0
EPS15L1,ENSG00000127527.14,EPS15L1,chr19,protein_coding,116846.0
EPSTI1,ENSG00000133106.15,EPSTI1,chr13,protein_coding,105883.0
ERBIN,ENSG00000112851.16,ERBIN,chr5,protein_coding,199418.0
ERGIC1,ENSG00000113719.17,ERGIC1,chr5,protein_coding,118541.0
ERI2,ENSG00000196678.14,ERI2,chr16,protein_coding,120156.0
ERICH1,ENSG00000104714.14,ERICH1,chr8,protein_coding,123360.0
ERN1,ENSG00000178607.17,ERN1,chr17,protein_coding,91739.0
ERO1A,ENSG00000197930.13,ERO1A,chr14,protein_coding,55985.0
ERP44,ENSG00000023318.9,ERP44,chr9,protein_coding,119867.0
ETF1,ENSG00000120705.13,ETF1,chr5,protein_coding,37141.0
ETS2,ENSG00000157557.13,ETS2,chr21,protein_coding,19772.0
ETV6,ENSG00000139083.11,ETV6,chr12,protein_coding,245703.0
EVI2A,ENSG00000126860.12,EVI2A,chr17,protein_coding,5339.0
EVI2B,ENSG00000185862.7,EVI2B,chr17,protein_coding,10335.0
EWSR1,ENSG00000182944.18,EWSR1,chr22,protein_coding,32516.0
EZR,ENSG00000092820.19,EZR,chr6,protein_coding,53627.0
F11R,ENSG00000158769.18,F11R,chr1,protein_coding,26132.0
FAM107B,ENSG00000065809.14,FAM107B,chr10,protein_coding,256340.0
FAM120A,ENSG00000048828.18,FAM120A,chr9,protein_coding,114427.0
FAM177A1,ENSG00000151327.14,FAM177A1,chr14,protein_coding,71513.0
FAM53C,ENSG00000120709.11,FAM53C,chr5,protein_coding,17794.0
FAM8A1,ENSG00000137414.7,FAM8A1,chr6,protein_coding,11417.0
FAR1,ENSG00000197601.14,FAR1,chr11,protein_coding,63678.0
FAS,ENSG00000026103.25,FAS,chr10,protein_coding,75792.0
FAU,ENSG00000149806.11,FAU,chr11,protein_coding,1547.0
FBRS,ENSG00000156860.16,FBRS,chr16,protein_coding,12379.0
FBXL5,ENSG00000118564.15,FBXL5,chr4,protein_coding,77298.0
FBXO11,ENSG00000138081.22,FBXO11,chr2,protein_coding,117182.0
FBXO33,ENSG00000165355.8,FBXO33,chr14,protein_coding,34782.0
FBXO34,ENSG00000178974.11,FBXO34,chr14,protein_coding,98709.0
FBXW7,ENSG00000109670.17,FBXW7,chr4,protein_coding,215548.0
FCAR,ENSG00000186431.19,FCAR,chr19,protein_coding,17185.0
FCER1G,ENSG00000158869.11,FCER1G,chr1,protein_coding,5465.0
FCGR2A,ENSG00000143226.16,FCGR2A,chr1,protein_coding,18583.0
FCGR3A,ENSG00000203747.13,FCGR3A,chr1,protein_coding,9209.0
FCGR3B,ENSG00000162747.13,FCGR3B,chr1,protein_coding,8767.0
FCGRT,ENSG00000104870.13,FCGRT,chr19,protein_coding,19612.0
FCHSD2,ENSG00000137478.15,FCHSD2,chr11,protein_coding,305573.0
FCN1,ENSG00000085265.12,FCN1,chr9,protein_coding,14680.0
FFAR2,ENSG00000126262.5,FFAR2,chr19,protein_coding,7860.0
FGD3,ENSG00000127084.19,FGD3,chr9,protein_coding,88713.0
FGD4,ENSG00000139132.16,FGD4,chr12,protein_coding,246492.0
FGL2,ENSG00000127951.8,FGL2,chr7,protein_coding,6479.0
FGR,ENSG00000000938.13,FGR,chr1,protein_coding,23121.0
FKBP1A,ENSG00000088832.18,FKBP1A,chr20,protein_coding,24187.0
FKBP5,ENSG00000096060.15,FKBP5,chr6,protein_coding,154998.0
FKBP8,ENSG00000105701.16,FKBP8,chr19,protein_coding,12326.0
FLI1,ENSG00000151702.18,FLI1,chr11,protein_coding,126732.0
FLOT1,ENSG00000137312.15,FLOT1,chr6,protein_coding,15023.0
FLOT2,ENSG00000132589.16,FLOT2,chr17,protein_coding,18398.0
FMNL1,ENSG00000184922.15,FMNL1,chr17,protein_coding,25875.0
FNBP1,ENSG00000187239.19,FNBP1,chr9,protein_coding,156002.0
FNDC3A,ENSG00000102531.16,FNDC3A,chr13,protein_coding,233867.0
FNDC3B,ENSG00000075420.13,FNDC3B,chr3,protein_coding,362091.0
FNIP1,ENSG00000217128.13,FNIP1,chr5,protein_coding,155303.0
FOLR3,ENSG00000110203.10,FOLR3,chr11,protein_coding,25023.0
FOS,ENSG00000170345.10,FOS,chr14,protein_coding,3404.0
FOSB,ENSG00000125740.15,FOSB,chr19,protein_coding,7184.0
FOSL2,ENSG00000075426.12,FOSL2,chr2,protein_coding,24869.0
FOXN3,ENSG00000053254.16,FOXN3,chr14,protein_coding,494278.0
FOXO3,ENSG00000118689.15,FOXO3,chr6,protein_coding,124939.0
FPR1,ENSG00000171051.10,FPR1,chr19,protein_coding,58943.0
FPR2,ENSG00000171049.9,FPR2,chr19,protein_coding,18505.0
FRAT2,ENSG00000181274.7,FRAT2,chr10,protein_coding,2232.0
FRMD4B,ENSG00000114541.15,FRMD4B,chr3,protein_coding,373801.0
FRY,ENSG00000073910.23,FRY,chr13,protein_coding,452412.0
FRYL,ENSG00000075539.15,FRYL,chr4,protein_coding,282965.0
FTH1,ENSG00000167996.16,FTH1,chr11,protein_coding,7916.0
FTL,ENSG00000087086.15,FTL,chr19,protein_coding,1570.0
FURIN,ENSG00000140564.13,FURIN,chr15,protein_coding,14976.0
FUS,ENSG00000089280.19,FUS,chr16,protein_coding,11467.0
FYB1,ENSG00000082074.19,FYB1,chr5,protein_coding,169276.0
G0S2,ENSG00000123689.6,G0S2,chr1,protein_coding,978.0
GAB2,ENSG00000033327.13,GAB2,chr11,protein_coding,203055.0
GABARAPL1,ENSG00000139112.11,GABARAPL1,chr12,protein_coding,10670.0
GABARAPL2,ENSG00000034713.8,GABARAPL2,chr16,protein_coding,11506.0
GADD45B,ENSG00000099860.9,GADD45B,chr19,protein_coding,2137.0
GALC,ENSG00000054983.17,GALC,chr14,protein_coding,155845.0
GAPDH,ENSG00000111640.15,GAPDH,chr12,protein_coding,3862.0
GAS7,ENSG00000007237.19,GAS7,chr17,protein_coding,288000.0
GATAD2A,ENSG00000167491.18,GATAD2A,chr19,protein_coding,123106.0
GATAD2B,ENSG00000143614.11,GATAD2B,chr1,protein_coding,134330.0
GBP1,ENSG00000117228.11,GBP1,chr1,protein_coding,13478.0
GBP2,ENSG00000162645.13,GBP2,chr1,protein_coding,44324.0
GBP5,ENSG00000154451.15,GBP5,chr1,protein_coding,16671.0
GCA,ENSG00000115271.11,GCA,chr2,protein_coding,52755.0
GCC2,ENSG00000135968.22,GCC2,chr2,protein_coding,60308.0
GDI1,ENSG00000203879.12,GDI1,chrX,protein_coding,6554.0
GGNBP2,ENSG00000278311.5,GGNBP2,chr17,protein_coding,44936.0
GHITM,ENSG00000165678.22,GHITM,chr10,protein_coding,15359.0
GIT2,ENSG00000139436.22,GIT2,chr12,protein_coding,66585.0
GK,ENSG00000198814.14,GK,chrX,protein_coding,78103.0
GLA,ENSG00000102393.15,GLA,chrX,protein_coding,14739.0
GLIPR1,ENSG00000139278.10,GLIPR1,chr12,protein_coding,23110.0
GLIPR2,ENSG00000122694.16,GLIPR2,chr9,protein_coding,27377.0
GLRX,ENSG00000173221.14,GLRX,chr5,protein_coding,71407.0
GLS,ENSG00000115419.14,GLS,chr2,protein_coding,84731.0
GLT1D1,ENSG00000151948.12,GLT1D1,chr12,protein_coding,131541.0
GLUL,ENSG00000135821.19,GLUL,chr1,protein_coding,14108.0
GMFG,ENSG00000130755.13,GMFG,chr19,protein_coding,14019.0
GNA13,ENSG00000120063.10,GNA13,chr17,protein_coding,47451.0
GNAI2,ENSG00000114353.17,GNAI2,chr3,protein_coding,33070.0
GNAI3,ENSG00000065135.12,GNAI3,chr1,protein_coding,51580.0
GNAQ,ENSG00000156052.11,GNAQ,chr9,protein_coding,315714.0
GNAS,ENSG00000087460.29,GNAS,chr20,protein_coding,71474.0
GNB1,ENSG00000078369.19,GNB1,chr1,protein_coding,107007.0
GNG2,ENSG00000186469.9,GNG2,chr14,protein_coding,153147.0
GNS,ENSG00000135677.11,GNS,chr12,protein_coding,45986.0
GOLGA7,ENSG00000147533.19,GOLGA7,chr8,protein_coding,22895.0
GOLGB1,ENSG00000173230.17,GOLGB1,chr3,protein_coding,86767.0
GOLM2,ENSG00000166734.20,GOLM2,chr15,protein_coding,127039.0
GPBP1,ENSG00000062194.16,GPBP1,chr5,protein_coding,90731.0
GPCPD1,ENSG00000125772.14,GPCPD1,chr20,protein_coding,66567.0
GPR132,ENSG00000183484.12,GPR132,chr14,protein_coding,16050.0
GPR65,ENSG00000140030.6,GPR65,chr14,protein_coding,9676.0
GPSM3,ENSG00000213654.10,GPSM3,chr6,protein_coding,4757.0
GRAMD1A,ENSG00000089351.15,GRAMD1A,chr19,protein_coding,31687.0
GRB2,ENSG00000177885.15,GRB2,chr17,protein_coding,87633.0
GRINA,ENSG00000178719.17,GRINA,chr8,protein_coding,3359.0
GRK2,ENSG00000173020.11,GRK2,chr11,protein_coding,20083.0
GRN,ENSG00000030582.19,GRN,chr17,protein_coding,7860.0
GSK3B,ENSG00000082701.17,GSK3B,chr3,protein_coding,273673.0
GSN,ENSG00000148180.22,GSN,chr9,protein_coding,125049.0
GTPBP1,ENSG00000100226.16,GTPBP1,chr22,protein_coding,32557.0
H2AC6,ENSG00000180573.10,H2AC6,chr6,protein_coding,14971.0
H2AZ1,ENSG00000164032.12,H2AZ1,chr4,protein_coding,2269.0
H2AZ2,ENSG00000105968.19,H2AZ2,chr7,protein_coding,21296.0
H2BC21,ENSG00000184678.11,H2BC21,chr1,protein_coding,2223.0
H2BC4,ENSG00000180596.9,H2BC4,chr6,protein_coding,37609.0
H3-3A,ENSG00000163041.13,H3-3A,chr1,protein_coding,10168.0
H3-3B,ENSG00000132475.10,H3-3B,chr17,protein_coding,9459.0
HACD4,ENSG00000188921.14,HACD4,chr9,protein_coding,32131.0
HAL,ENSG00000084110.11,HAL,chr12,protein_coding,23703.0
HAPSTR1,ENSG00000182831.12,HAPSTR1,chr16,protein_coding,29991.0
HBEGF,ENSG00000113070.8,HBEGF,chr5,protein_coding,13760.0
HBP1,ENSG00000105856.14,HBP1,chr7,protein_coding,33561.0
HCAR2,ENSG00000182782.8,HCAR2,chr12,protein_coding,2064.0
HCAR3,ENSG00000255398.3,HCAR3,chr12,protein_coding,2055.0
HCK,ENSG00000101336.18,HCK,chr20,protein_coding,49659.0
HCLS1,ENSG00000180353.11,HCLS1,chr3,protein_coding,29528.0
HDGF,ENSG00000143321.19,HDGF,chr1,protein_coding,24816.0
HEBP2,ENSG00000051620.11,HEBP2,chr6,protein_coding,18666.0
HECA,ENSG00000112406.5,HECA,chr6,protein_coding,45722.0
HECW2,ENSG00000138411.13,HECW2,chr2,protein_coding,404585.0
HERPUD1,ENSG00000051108.15,HERPUD1,chr16,protein_coding,12722.0
HERPUD2,ENSG00000122557.11,HERPUD2,chr7,protein_coding,64800.0
HEXIM1,ENSG00000186834.4,HEXIM1,chr17,protein_coding,3624.0
HIF1A,ENSG00000100644.17,HIF1A,chr14,protein_coding,52746.0
HIP1,ENSG00000127946.17,HIP1,chr7,protein_coding,205664.0
HIPK3,ENSG00000110422.12,HIPK3,chr11,protein_coding,100351.0
HIVEP1,ENSG00000095951.17,HIVEP1,chr6,protein_coding,156237.0
HIVEP2,ENSG00000010818.11,HIVEP2,chr6,protein_coding,205229.0
HK2,ENSG00000159399.10,HK2,chr2,protein_coding,59232.0
HLA-A,ENSG00000206503.14,HLA-A,chr6,protein_coding,8312.0
HLA-B,ENSG00000234745.14,HLA-B,chr6,protein_coding,13195.0
HLA-C,ENSG00000204525.18,HLA-C,chr6,protein_coding,3381.0
HLA-E,ENSG00000204592.9,HLA-E,chr6,protein_coding,4685.0
HLA-F,ENSG00000204642.14,HLA-F,chr6,protein_coding,15753.0
HMGB1,ENSG00000189403.15,HMGB1,chr13,protein_coding,160893.0
HMGB2,ENSG00000164104.12,HMGB2,chr4,protein_coding,3056.0
HMGN2,ENSG00000198830.12,HMGN2,chr1,protein_coding,4202.0
HNRNPA2B1,ENSG00000122566.22,HNRNPA2B1,chr7,protein_coding,30378.0
HNRNPA3,ENSG00000170144.22,HNRNPA3,chr2,protein_coding,11265.0
HNRNPC,ENSG00000092199.19,HNRNPC,chr14,protein_coding,60358.0
HNRNPD,ENSG00000138668.20,HNRNPD,chr4,protein_coding,22005.0
HNRNPDL,ENSG00000152795.18,HNRNPDL,chr4,protein_coding,7897.0
HNRNPF,ENSG00000169813.17,HNRNPF,chr10,protein_coding,23569.0
HNRNPH1,ENSG00000169045.19,HNRNPH1,chr5,protein_coding,20606.0
HNRNPH2,ENSG00000126945.9,HNRNPH2,chrX,protein_coding,5911.0
HNRNPH3,ENSG00000096746.18,HNRNPH3,chr10,protein_coding,12019.0
HNRNPK,ENSG00000165119.22,HNRNPK,chr9,protein_coding,12548.0
HNRNPL,ENSG00000104824.18,HNRNPL,chr19,protein_coding,15977.0
HNRNPM,ENSG00000099783.13,HNRNPM,chr19,protein_coding,44347.0
HNRNPU,ENSG00000153187.21,HNRNPU,chr1,protein_coding,23922.0
HNRNPUL1,ENSG00000105323.18,HNRNPUL1,chr19,protein_coding,45291.0
HOOK2,ENSG00000095066.12,HOOK2,chr19,protein_coding,109737.0
HP1BP3,ENSG00000127483.19,HP1BP3,chr1,protein_coding,47057.0
HPCAL1,ENSG00000115756.13,HPCAL1,chr2,protein_coding,124728.0
HSD17B11,ENSG00000198189.11,HSD17B11,chr4,protein_coding,54673.0
HSDL2,ENSG00000119471.15,HSDL2,chr9,protein_coding,92325.0
HSH2D,ENSG00000196684.12,HSH2D,chr19,protein_coding,24547.0
HSP90AA1,ENSG00000080824.19,HSP90AA1,chr14,protein_coding,58957.0
HSP90AB1,ENSG00000096384.20,HSP90AB1,chr6,protein_coding,7722.0
HSP90B1,ENSG00000166598.16,HSP90B1,chr12,protein_coding,23824.0
HSPA1A,ENSG00000204389.10,HSPA1A,chr6,protein_coding,2403.0
HSPA1B,ENSG00000204388.7,HSPA1B,chr6,protein_coding,2516.0
HSPA5,ENSG00000044574.9,HSPA5,chr9,protein_coding,6529.0
HSPA6,ENSG00000173110.8,HSPA6,chr1,protein_coding,2354.0
HSPA8,ENSG00000109971.14,HSPA8,chr11,protein_coding,5741.0
HSPD1,ENSG00000144381.18,HSPD1,chr2,protein_coding,30153.0
HSPH1,ENSG00000120694.20,HSPH1,chr13,protein_coding,27415.0
HYCC2,ENSG00000155744.10,HYCC2,chr2,protein_coding,97953.0
ICAM1,ENSG00000090339.9,ICAM1,chr19,protein_coding,15522.0
ICAM3,ENSG00000076662.11,ICAM3,chr19,protein_coding,5885.0
ID2,ENSG00000115738.10,ID2,chr2,protein_coding,5616.0
IDI1,ENSG00000067064.13,IDI1,chr10,protein_coding,9967.0
IER2,ENSG00000160888.7,IER2,chr19,protein_coding,4500.0
IER3,ENSG00000137331.12,IER3,chr6,protein_coding,1349.0
IER5,ENSG00000162783.11,IER5,chr1,protein_coding,4200.0
IFI16,ENSG00000163565.20,IFI16,chr1,protein_coding,55187.0
IFIH1,ENSG00000115267.10,IFIH1,chr2,protein_coding,51610.0
IFIT2,ENSG00000119922.11,IFIT2,chr10,protein_coding,25577.0
IFIT3,ENSG00000119917.15,IFIT3,chr10,protein_coding,50166.0
IFITM2,ENSG00000185201.18,IFITM2,chr11,protein_coding,5742.0
IFITM3,ENSG00000142089.17,IFITM3,chr11,protein_coding,9799.0
IFNAR1,ENSG00000142166.15,IFNAR1,chr21,protein_coding,35477.0
IFNGR1,ENSG00000027697.16,IFNGR1,chr6,protein_coding,21966.0
IFNGR2,ENSG00000159128.16,IFNGR2,chr21,protein_coding,75935.0
IFRD1,ENSG00000006652.15,IFRD1,chr7,protein_coding,58130.0
IGF1R,ENSG00000140443.15,IGF1R,chr15,protein_coding,315991.0
IGF2R,ENSG00000197081.16,IGF2R,chr6,protein_coding,144425.0
IGSF6,ENSG00000140749.9,IGSF6,chr16,protein_coding,13058.0
IK,ENSG00000113141.19,IK,chr5,protein_coding,15422.0
IKBIP,ENSG00000166130.15,IKBIP,chr12,protein_coding,31708.0
IKZF1,ENSG00000185811.21,IKZF1,chr7,protein_coding,101033.0
IL13RA1,ENSG00000131724.11,IL13RA1,chrX,protein_coding,67402.0
IL17RA,ENSG00000177663.15,IL17RA,chr22,protein_coding,30739.0
IL18RAP,ENSG00000115607.10,IL18RAP,chr2,protein_coding,33876.0
IL1A,ENSG00000115008.6,IL1A,chr2,protein_coding,10568.0
IL1B,ENSG00000125538.12,IL1B,chr2,protein_coding,7065.0
IL1R1,ENSG00000115594.12,IL1R1,chr2,protein_coding,115330.0
IL1R2,ENSG00000115590.14,IL1R2,chr2,protein_coding,36584.0
IL1RAP,ENSG00000196083.11,IL1RAP,chr3,protein_coding,145699.0
IL1RN,ENSG00000136689.20,IL1RN,chr2,protein_coding,34701.0
IL2RG,ENSG00000147168.14,IL2RG,chrX,protein_coding,4704.0
IL4R,ENSG00000077238.14,IL4R,chr16,protein_coding,51110.0
IL6R,ENSG00000160712.13,IL6R,chr1,protein_coding,64257.0
ILRUN,ENSG00000196821.10,ILRUN,chr6,protein_coding,109571.0
IMPA2,ENSG00000141401.12,IMPA2,chr18,protein_coding,49852.0
INKA2,ENSG00000197852.12,INKA2,chr1,protein_coding,75194.0
INPP5A,ENSG00000068383.19,INPP5A,chr10,protein_coding,245693.0
INPP5D,ENSG00000168918.14,INPP5D,chr2,protein_coding,147936.0
INTS6,ENSG00000102786.15,INTS6,chr13,protein_coding,100187.0
IPMK,ENSG00000151151.6,IPMK,chr10,protein_coding,76377.0
IQGAP1,ENSG00000140575.13,IQGAP1,chr15,protein_coding,113997.0
IQGAP2,ENSG00000145703.17,IQGAP2,chr5,protein_coding,304847.0
IQSEC1,ENSG00000144711.17,IQSEC1,chr3,protein_coding,386238.0
IRAG2,ENSG00000118308.16,IRAG2,chr12,protein_coding,103993.0
IRAK2,ENSG00000134070.5,IRAK2,chr3,protein_coding,78826.0
IRAK3,ENSG00000090376.11,IRAK3,chr12,protein_coding,65427.0
IRF1,ENSG00000125347.15,IRF1,chr5,protein_coding,68279.0
IRF2,ENSG00000168310.12,IRF2,chr4,protein_coding,88856.0
IRF2BP2,ENSG00000168264.11,IRF2BP2,chr1,protein_coding,5909.0
IRS2,ENSG00000185950.9,IRS2,chr13,protein_coding,33888.0
ISCU,ENSG00000136003.16,ISCU,chr12,protein_coding,6786.0
ISG20,ENSG00000172183.16,ISG20,chr15,protein_coding,20813.0
IST1,ENSG00000182149.21,IST1,chr16,protein_coding,85203.0
ITGA5,ENSG00000161638.11,ITGA5,chr12,protein_coding,24005.0
ITGAL,ENSG00000005844.19,ITGAL,chr16,protein_coding,50909.0
ITGAM,ENSG00000169896.18,ITGAM,chr16,protein_coding,72925.0
ITGAX,ENSG00000140678.17,ITGAX,chr16,protein_coding,27865.0
ITGB2,ENSG00000160255.19,ITGB2,chr21,protein_coding,46036.0
ITM2B,ENSG00000136156.15,ITM2B,chr13,protein_coding,37745.0
ITPR2,ENSG00000123104.12,ITPR2,chr12,protein_coding,497842.0
ITPRIP,ENSG00000148841.17,ITPRIP,chr10,protein_coding,28767.0
ITSN2,ENSG00000198399.16,ITSN2,chr2,protein_coding,157672.0
IVNS1ABP,ENSG00000116679.16,IVNS1ABP,chr1,protein_coding,20885.0
JAK1,ENSG00000162434.14,JAK1,chr1,protein_coding,234531.0
JAK2,ENSG00000096968.14,JAK2,chr9,protein_coding,145558.0
JAK3,ENSG00000105639.21,JAK3,chr19,protein_coding,23291.0
JAML,ENSG00000160593.20,JAML,chr11,protein_coding,31367.0
JARID2,ENSG00000008083.14,JARID2,chr6,protein_coding,275973.0
JCHAIN,ENSG00000132465.12,JCHAIN,chr4,protein_coding,26276.0
JMJD1C,ENSG00000171988.20,JMJD1C,chr10,protein_coding,354629.0
JOSD1,ENSG00000100221.11,JOSD1,chr22,protein_coding,16013.0
JUN,ENSG00000177606.9,JUN,chr1,protein_coding,7203.0
JUNB,ENSG00000171223.6,JUNB,chr19,protein_coding,1829.0
JUND,ENSG00000130522.6,JUND,chr19,protein_coding,1928.0
KANSL1,ENSG00000120071.15,KANSL1,chr17,protein_coding,195473.0
KAT6A,ENSG00000083168.11,KAT6A,chr8,protein_coding,122515.0
KATNBL1,ENSG00000134152.11,KATNBL1,chr15,protein_coding,69422.0
KCMF1,ENSG00000176407.18,KCMF1,chr2,protein_coding,88379.0
KCNAB2,ENSG00000069424.16,KCNAB2,chr1,protein_coding,110266.0
KCNJ15,ENSG00000157551.19,KCNJ15,chr21,protein_coding,151808.0
KCTD20,ENSG00000112078.14,KCTD20,chr6,protein_coding,48376.0
KDM2A,ENSG00000173120.15,KDM2A,chr11,protein_coding,138819.0
KDM3B,ENSG00000120733.15,KDM3B,chr5,protein_coding,84343.0
KDM4B,ENSG00000127663.15,KDM4B,chr19,protein_coding,184485.0
KDM5A,ENSG00000073614.13,KDM5A,chr12,protein_coding,109263.0
KDM5B,ENSG00000117139.18,KDM5B,chr1,protein_coding,83992.0
KDM6A,ENSG00000147050.18,KDM6A,chrX,protein_coding,239591.0
KDM6B,ENSG00000132510.11,KDM6B,chr17,protein_coding,20579.0
KDM7A,ENSG00000006459.11,KDM7A,chr7,protein_coding,92237.0
KHDRBS1,ENSG00000121774.18,KHDRBS1,chr1,protein_coding,46982.0
KIAA0232,ENSG00000170871.12,KIAA0232,chr4,protein_coding,102795.0
KIDINS220,ENSG00000134313.17,KIDINS220,chr2,protein_coding,116549.0
KIF13A,ENSG00000137177.20,KIF13A,chr6,protein_coding,228452.0
KIF1B,ENSG00000054523.20,KIF1B,chr1,protein_coding,171033.0
KIF5B,ENSG00000170759.11,KIF5B,chr10,protein_coding,47410.0
KLF10,ENSG00000155090.15,KLF10,chr8,protein_coding,6941.0
KLF2,ENSG00000127528.6,KLF2,chr19,protein_coding,3859.0
KLF3,ENSG00000109787.13,KLF3,chr4,protein_coding,37320.0
KLF6,ENSG00000067082.15,KLF6,chr10,protein_coding,9285.0
KLF7,ENSG00000118263.16,KLF7,chr2,protein_coding,99719.0
