"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"mmu04072","mmu04072","Phospholipase D signaling pathway",75,-0.392111578647108,-1.50819350785823,0.00201952033327386,0.0112876761484771,0.00797179078923893,2457,"tags=47%, list=24%, signal=36%","Map2k1/Rhoa/Dgka/Akt1/Plcb3/Map2k2/Arf1/Mapk3/Prkca/Pik3ca/Rala/Lpar6/Dnm2/Ralb/Grb2/Akt2/Cyth1/Sos2/Syk/Gab2/Pik3r6/Ptk2b/Dgkh/Fyn/Pik3cd/Fcer1g/Pik3cg/Pik3r5/Raf1/Pip5k1c/Cyth4/Cxcr2/Grm1/Cxcr1/Agpat4"
"mmu00983","mmu00983","Drug metabolism - other enzymes",37,0.632096944983628,1.57947872653793,0.00234374813461577,0.0128700555462234,0.00908932794587832,1912,"tags=54%, list=18%, signal=44%","Tk1/Rrm1/Rrm2/Dut/Nme1/Impdh2/Impdh1/Gstm1/Mgst3/Gstt2/Gsto1/Uck2/Umps/Gmps/Nme7/Tpmt/Mpo/Uck1/Gstp1/Nme6"
"mmu05145","mmu05145","Toxoplasmosis",66,-0.396053039568889,-1.51909520549639,0.0023936582438586,0.0129175005228921,0.00912283541216526,2455,"tags=52%, list=24%, signal=40%","Gnai3/Akt1/Stat1/Stat3/Mapk13/Mapk3/Lamb3/Tyk2/Casp9/Mapk14/Alox5/Tab2/Ldlr/Akt2/Map2k3/Pik3r6/Tlr4/Gnai2/Il10rb/Pik3cg/Jak1/Tnfrsf1a/Pik3r5/Irak4/Birc3/Casp3/Myd88/Igtp/Ifngr2/Irgm1/Irgm2/Ly96/Il10ra/Tlr2"
"mmu03040","mmu03040","Spliceosome",130,0.509905336497117,1.44062300977459,0.00273427150568988,0.014505542055609,0.0102443713861708,3292,"tags=51%, list=32%, signal=35%","Snrpg/Ppie/Snrpf/Snrpd1/Snrpa1/Lsm7/Magohb/Ppil1/Alyref/Prpf19/Lsm5/Lsm2/Snrpe/Tcerg1/Hnrnpa1/Sf3b3/Ncbp2/Snrpd2/Thoc3/Thoc2l/Thoc1/Snu13/Sf3a3/Srsf7/Ppih/Eftud2/Lsm6/Gm25360/Snrnp40/Lsm3/Snrpa/Prpf31/Gm25939/Snrpb/Ddx39b/Gm25099/Prpf3/Srsf1/Eif4a3/Sf3a1/Srsf3/Bcas2/Gm22068/Srsf10/Prpf4/Txnl4a/Rnu1a1/Dhx15/Gm24265/Tra2b/Lsm4/Gm22513/Hnrnpa3/Rnu5g/Srsf4/Isy1/Aqr/U2surp/Snrpb2/Srsf6/Prpf38a/Gm24407/Lsm8/Gm25313/Rbmx/Gm25813"
"mmu04650","mmu04650","Natural killer cell mediated cytotoxicity",57,-0.441665072210077,-1.64531339681685,0.00293418249673943,0.0153066520246573,0.0108101460406189,2728,"tags=72%, list=26%, signal=53%","Ifngr1/Prkcb/Lcp2/Raet1e/Kras/Map2k1/Rac1/Map2k2/Mapk3/Sh3bp2/Prkca/Ifnar2/Vav3/Pik3ca/Ptpn6/Grb2/Nfatc1/Braf/Sos2/H2-K1/Rac2/Syk/Itgb2/Ptk2b/Hcst/Fyn/Pik3cd/Fcer1g/Raf1/H2-D1/Casp3/Bid/Tyrobp/Itgal/Ifnar1/Ifngr2/Icam1/Fcgr4/H2-T23/Fas/Cd244a"
"mmu05146","mmu05146","Amoebiasis",43,-0.477333137736478,-1.61497025781738,0.0033280297860936,0.0170766118532344,0.0120601597080182,277,"tags=35%, list=3%, signal=34%","Rab5a/Itgam/Rab5b/Tlr4/Itgb2/Rab7/Actn1/Pik3cd/Casp3/Il1r2/Cd14/Il1b/Arg2/Tlr2/Cxcl2"
"mmu05142","mmu05142","Chagas disease",62,-0.40972461145643,-1.53293764604625,0.00349026366949964,0.0176202020734417,0.0124440640168917,830,"tags=21%, list=8%, signal=19%","Irak4/Myd88/Jun/Ifngr2/Cd3d/Tlr6/Tgfbr2/Calr/Fos/Fas/Ccl3/Il1b/Tlr2"
"mmu05135","mmu05135","Yersinia infection",100,-0.350429915437821,-1.4099491364572,0.00407904396741298,0.020265726377782,0.0143124349733789,2642,"tags=53%, list=25%, signal=40%","Lcp2/Arpc4/Wipf2/Map2k1/Arpc1a/Rhoa/Ikbkg/Akt1/Rac1/Mapk13/Map2k2/Mapk3/Map2k4/Vav3/Pik3ca/Pkn1/Mapk14/Actr2/Tab2/Actr3/Akt2/Ticam1/Nfatc1/Itga4/Rps6ka2/Actb/Rac2/Map2k3/Arpc3/Rhog/Arpc2/Skap2/Actg1/Tlr4/Ptk2b/Cdc42/Arpc1b/Arhgef28/Pxn/Pik3cd/Arpc5/Wipf1/Irak4/Myd88/Pip5k1c/Casp1/Jun/Fcgr3/Fyb/Il18/Fos/Il1b/Nlrp3"
"mmu04659","mmu04659","Th17 cell differentiation",51,-0.429492276412202,-1.54295643353063,0.00415900544032195,0.0203401359815745,0.0143649858958488,1940,"tags=49%, list=19%, signal=40%","Stat1/Stat3/Mapk13/Mapk3/Tyk2/Mapk14/Smad4/Nfkbie/Nfatc1/Hif1a/Stat6/Ahr/Il1rap/Stat5b/Jak1/Il4ra/Jun/Smad3/Ifngr2/Il6ra/Cd3d/Tgfbr2/Fos/Il1b/Rara"
"mmu04640","mmu04640","Hematopoietic cell lineage",32,-0.491722393274566,-1.61545247746869,0.00526312847104804,0.0253439878682775,0.01789889844405,1678,"tags=56%, list=16%, signal=47%","Itgam/Cd38/Cd24a/Cr1l/Cd37/Csf2ra/Itgb3/Cd44/Il4ra/Il6ra/Il1r2/Cd33/Csf3r/Cd3d/Cd55/Cd14/Il1b/Csf1r"
"mmu04926","mmu04926","Relaxin signaling pathway",68,-0.401446484669631,-1.5510444517113,0.00568376014894872,0.0269548019184992,0.0190365172452828,2652,"tags=51%, list=25%, signal=39%","Creb3l1/Gnb2/Arrb2/Kras/Map2k1/Gnai3/Akt1/Plcb3/Mapk13/Map2k2/Mapk3/Prkca/Gng5/Map2k4/Pik3ca/Mapk14/Gng12/Grb2/Akt2/Gnb5/Sos2/Creb3l3/Gnai2/Pik3cd/Arrb1/Raf1/Creb3/Jun/Creb5/Tgfbr2/Fos/Mmp9/Gngt2/Gng2/Acta2"
"mmu00230","mmu00230","Purine metabolism",73,0.533772041487407,1.44147443870777,0.00650527429882268,0.0303903112765895,0.0214628060133977,1959,"tags=34%, list=19%, signal=28%","Prps1/Rrm1/Rrm2/Paics/Nme1/Impdh2/Ppat/Impdh1/Nudt5/Adsl/Prps2/Hddc3/Prps1l3/Pde5a/Gmpr/Pde7a/Gmps/Nme7/Gart/Pde4a/Enpp4/Ak6/Nt5c/Nme6/Pnp2"
"mmu00310","mmu00310","Lysine degradation",43,0.590715108201602,1.50294892675298,0.00745183720845109,0.0338435717267845,0.0239016312851009,2501,"tags=40%, list=24%, signal=30%","Suv39h2/Gcdh/Suv39h1/Ezh2/Aldh9a1/Nsd2/Acat1/Dot1l/Echs1/Acat2/Ehmt2/Prdm16/Setdb2/Colgalt1/Setd1a/Phykpl/Kmt5c"
"mmu04630","mmu04630","JAK-STAT signaling pathway",75,-0.363832971990468,-1.39942443983434,0.00746072347970649,0.0338435717267845,0.0239016312851009,2022,"tags=43%, list=19%, signal=35%","Ptpn6/Ep300/Ifnlr1/Grb2/Akt2/Sos2/Csf2rb/Il15ra/Stat6/Csf2rb2/Pik3cd/Il10rb/Csf2ra/Pim1/Stat5b/Crlf2/Jak1/Raf1/Il4ra/Cish/Ifnar1/Ifngr2/Il15/Il6ra/Csf3r/Irf9/Mcl1/Osm/Socs3/Ccnd2/Il13ra1/Il10ra"
"mmu04666","mmu04666","Fc gamma R-mediated phagocytosis",62,-0.387631646245962,-1.45027935035947,0.00770953077435837,0.0344726161767739,0.0243458866558686,2863,"tags=68%, list=27%, signal=49%","Was/Wasf2/Limk1/Crk/Sphk2/Prkcb/Arpc4/Map2k1/Arpc1a/Akt1/Rac1/Mapk3/Prkca/Hck/Ncf1/Vav3/Pik3ca/Actr2/Dnm2/Gsn/Cfl1/Actr3/Akt2/Inpp5d/Rac2/Syk/Gab2/Arpc3/Arpc2/Cdc42/Arpc1b/Pik3cd/Vasp/Lyn/Prkcd/Arpc5/Raf1/Pip5k1c/Ptprc/Fcgr4/Fcgr3/Marcks"
"mmu04670","mmu04670","Leukocyte transendothelial migration",61,-0.421684212345318,-1.58825650828637,0.00897704258980911,0.0395748497269049,0.0279492801165295,2455,"tags=56%, list=24%, signal=43%","Gnai3/Rac1/Mapk13/Prkca/Ncf1/Vav3/Pik3ca/Mapk14/Cxcr4/Itga4/Actb/Rac2/Itgam/Actg1/Itgb2/Ptk2b/Cdc42/Gnai2/Pxn/Msn/Rap1b/Actn1/Pik3cd/Myl12b/Vasp/Pecam1/Itgal/Ncf2/Ctnna3/Icam1/Rassf5/Mmp9/Arhgap5/Myl2"
"mmu00670","mmu00670","One carbon pool by folate",14,0.737116425922131,1.57186490069349,0.00939707624618624,0.0408511786813374,0.0288506726856595,1987,"tags=57%, list=19%, signal=46%","Dhfr/Tyms/Mthfd1l/Shmt2/Shmt1/Gart/Mthfd2/Mtr"
"mmu05410","mmu05410","Hypertrophic cardiomyopathy",33,-0.487239563334262,-1.59388228913657,0.0102446490272064,0.0439256869248712,0.0310220085899544,1821,"tags=42%, list=17%, signal=35%","Itga4/Actb/Actg1/Sgcz/Dmd/Itgb3/Prkab2/Prkab1/Cacna1d/Sntb1/Itga8/Itgb7/Myl2/Tpm4"
